"gconcept_best","rank","day"
"outlet mall",1,"Wednesday"
"tree farm",1,"Thursday"
"scenic overlook",1,"Friday"
"outlet mall",1,"Overall"
"trail head",2,"Wednesday"
"place of worship",2,"Friday"
"tree farm",2,"Overall"
"roller coaster",3,"Wednesday"
"outlet mall",2,"Thursday"
"tree farm",3,"Friday"
"scenic overlook",4,"Wednesday"
"electronics store",3,"Thursday"
"scenic overlook",3,"Overall"
"video game store",5,"Wednesday"
"atv rental service",4,"Thursday"
"football field",4,"Friday"
"electronics store",4,"Overall"
"video game store",5,"Thursday"
"video game store",5,"Overall"
"rest stop",5,"Friday"
